year,,year count,,air plane,number cuush plane,Operator,count Operator,Country,Country count,,Crash cause,Crash cause count,Flight phase,Flight phase count,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-Air - Aviakompania S-Air,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sair Aviation,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAL Express,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salem Aviation,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sales Servi?os A¨¦reos,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salim Ben Laden,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salmita Consolidated Mines,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SALSA d'Ha?ti - Services A¨¦riens Latinoam¨¦ricains SA,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salvador Esquino,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sam W. Rankin,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samaritan AirEvac - Samaritan Health Services,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samarkand Flight Enterprise,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samarth Aviation,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samoa Aviation,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samorodok,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samuel Kasdin,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samuel Perry Tyzack,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Jet,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanborn Map Company,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sandgar,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sandy Lake Seaplane Service,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saneamento Servicos Avancados,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanford Schwartz,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sangamo Electric Company,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San-Lo Aerial Surveys,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Santa Barbara Airlines,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Santa Coloma Investimento e Participa??es,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Santa Cruz Imperial,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Santa Fe Associates,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Santa Fe Investments,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sarajevo Aeronautical Club,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saransk Aviation Enterprise,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saransk Flight Unit,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saratov Airlines,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sargo Servicios A¨¦reos,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saskatchewan Government Northern Air Operations,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAT Aerotaxi,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAT Airlines - Sakhalinskie Aviatrassy,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saudi Binladin Group,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sault Airways,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sauo Aero Services,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Savannah Aero Service,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Savannah Aviation,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAVE Comercial e Importadora,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Savin Aviation,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Savoia Marchetti,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sawyer Aviation,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saxon Wings,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sayanian Cedar,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scan African Aviation,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scan Fly,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scanex Air,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scarborough Aero Club,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scenic Aviation,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sch?fer %26 Seidler,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sch?nhagen Air,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaked Corporation,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scheduled Skyways,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schepps Grocery,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schlesische Luftverkehrs,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schuybroek Aviation,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scientific Company,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scoala Superioara de Aviatie Civila,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scott A. Humpal,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scott Aero Service,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scott Aviation,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scott Cable Communications,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scott H. Clarke,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scott M. Brunke,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Department of Agriculture and Fisheries,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Eastern Aircraft Services,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sea Airmotive,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sea Bee Air,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA Colombia - Servicios Especiales A¨¦reos Colombia,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seaback Homes,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seaboard International,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seaboard World Airlines,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SeAir Alaska Airlines,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seaside Air Services,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seattle Air Charter,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seaview Air,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seawind Aviation,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sebring Air Charter,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secr¨¦tariat G¨¦n¨¦ral de l'Aviation Civile - SGAC,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seeley Flying Service,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Segas International,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seiz Corp.,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selfridges %26 Company,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selkirk Air,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selkirk Remote Sensing,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selva T¨¢xi A¨¦reo,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SemeiAvia,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seneca Sawmill Company,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Senegalese Air Force - Arm¨¦e de l'Air S¨¦n¨¦galaise,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepahan Airlines,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sequel Group,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Serbian Air Force - Ratno Vazduhoplovstvo i Protivvazdu?na Odbrana,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SERCA Colombia - Servicio Especializado de Carga A¨¦rea,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seren,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servencin Despachos Gerais,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Services %26 Transports A¨¦riens,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Services A¨¦riens Internationaux d'¨¦gypte - SAIDE,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Services Fran?ais de T¨¦l¨¦communications et de Signalisation,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio A¨¦reo Colombiano - SACO,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio A¨¦reo Ejecutivo,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio A¨¦reo Nacional,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio A¨¦reo Vargas Espa?a - SAVE,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Transporte de la Guardia Nacional,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio Especializado de Carga A¨¦rea - SECA,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio Expresso Nacional,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicios Aereos Amazonicos,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicios A¨¦reos AQP,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicios A¨¦reos Cora,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicios A¨¦reos Corporativos,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicios A¨¦reos Curtiss,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicios A¨¦reos de Los Angeles,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicios A¨¦reos Especializados en Transportes Petroleros - SAEP Colombia,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicios A¨¦reos Estrella,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicios A¨¦reos Facchini,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicios A¨¦reos Martinez Leon,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicios A¨¦reos Milenio,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Servicios A¨¦reos para el Negocios, Industria y Agricultura",1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicios A¨¦reos SA,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicios A¨¦reos Tolima,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicios A¨¦reos Tom¨¢s Acevedo,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicios Americanos,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicios Ejecutivos Nacionales - SENSA,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicios Mubarqui,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicios Pecas de Aviones,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicios Petroleros Helimar,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicios Turisticos,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Serv-Jet,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seven Seas Airlines,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seventh-Day Adventist Church,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seventy Airways,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Severn Enterprises,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sgavit Aviation,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shabair,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shackleton Aviation,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shairplane,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shane Aviation,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shangri-La Air,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shanxi Airlines,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shaw Flight Service,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shawnee Airlines,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shebandowan Air,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheboygan Airways,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheldon L. Pollack,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shell Aviation,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shell-Mex Argentina,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shelter Charter Services,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shenandoah Air,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sherborne Aviation,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheridan Flying Service,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sherman Aircraft Sales,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sherwood Aviation,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shirley G. Kingsley,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shoreline Aviation,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shoreline Energy International Ltd,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Showa Air,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Showa Aviation,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shymkent Air Enterprise,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si Fly,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIAI-Marchetti Aeronautica,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Siam Air Sports,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sibaviatrans,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIBIA Aviakompania,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sicele J. M. O¡¯Brien,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sicotra Aviation,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Side Stick,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sierra AE,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sierra Verde Land Development,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sierra West Air,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sierra West Investment Company,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sigi Air Cargo,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sigtuna Aero,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silk Way Business Aviation,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silkair,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silver Air,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silver Express Company,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silverhawk Security Specialists,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silvio J. Adamo,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simpson Air,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simpson Air Services,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sinair,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sino Swearingen,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sioux Falls Aviation,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sioux Narrows Airways,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sirte Oil Company,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sitrex Group,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sitton Enterprises,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sivewright Airways,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Six Hundred NP,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Six T Ranch,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sizer Airways,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SK Logistics - SK Jets,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SK Travel,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skane Flyg,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sky Airlines,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sky Cabs,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sky Charter-Cargo,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sky Club,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sky Executive Aviation Services,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sky Harbor Air Service,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sky Hub Aviation,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sky King Flying Service,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sky King Inc.,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sky Lifts,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sky Line Flying Services,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sky Lounge Services,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sky of Siam,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sky Spray,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sky Team Bolivia,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sky Team Cremona,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sky Tours - Kenya,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sky Tours - Mozambique,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sky Tours Hawaii,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sky Train Air,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sky Truck International,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sky Wings Aviation,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SkyCare Air Ambulance,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skycharter,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skydive Assets,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skydive Binz,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skydive Costa d'Argento,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skydive DeLand,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skydive Flyzone,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skydive Kalifornia,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skydive Lillo - Air Compluto,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skydive New Zealand,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skydive Portugal,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skydive Salt Lake,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skydive Sk?ne,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skydive Taupo,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skydive Teuge,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skydive Ume?,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skydive4fun,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skydivers Flying Club,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skyjet Airlines,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skylease Cargo,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skyline Air,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skyline Ranch Investment Company,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skyline Sweden,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skylink Airlines,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SkyLink Express - Canada,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skylink Jets,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skyloft,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skymaster Air Services,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skymaster Airlines,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skymaster Freight Services,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skyservice Aviation,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skystream Airlines,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skytaxi Luftfahrt,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skytravel,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skyvan Airways,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skyward Aviation - Canada,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skywater Lodge,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skyway Air Services,1,,,,,,,,
