year,,year count,,air plane,number cuush plane,Operator,count Operator,Country,Country count,,Crash cause,Crash cause count,Flight phase,Flight phase count,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,573087,289,,Yakovlev Yak-40,97,Cruzeiro do Sul,36,Romania,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,563456,284,,Cessna 421B Golden Eagle II,96,Garuda Indonesian Airways,35,Panama,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,587560,296,,Short S.25 Sunderland,94,LOT Polish Airlines - Polskie Linie Lotnicze,35,Nepal,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,548136,276,,Avro 679 Manchester,93,Northwest Airlines,34,Ireland,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,677567,341,,Fairchild C-123 Provider,93,Private Venezuelan,34,Austria,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,608328,306,,Ilyushin II-18,93,Royal Netherlands East Indies Air Force - ML-KNIL,34,Honduras,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,670293,337,,Rockwell Aero Commander 500,93,Transcontinental %26 Western Air - TWA,34,Nicaragua,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,561180,282,,Martin PBM Mariner,91,Pakistan International Airlines - PIA,33,Antarctica,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,535579,269,,Armstrong Whitworth AW.38 Whitley,89,Private British,33,Yemen,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,575688,289,,Avro 685 York,88,Russian Air Force - Voyenno-vozdushnye sily Rossii,33,Ethiopia,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,595907,299,,Beechcraft 80 Queen Air,86,Air Union France,32,Mozambique,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,496506,249,,Vickers 416 Wellington IC,85,Iberia - Lineas A¨¦reas de Espana,32,Cuba,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,588525,295,,Casa 212 Aviocar,83,Linea Aeropostal Venezolana - LAV,32,Iraq,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,544908,273,,Avro 748,81,SATENA - Servicio de Aeronavegacion a Territorios Nacionales,32,Uzbekistan,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,503244,252,,De Havilland DH.9,80,Aerolineas Argentinas,31,Iceland,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,499500,250,,Junkers F.13,80,Portuguese Air Force - For?a Aerea Portuguesa,31,Costa Rica,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,467766,234,,Cessna 401,79,Cubana de Aviaci¨®n,30,Dominican Republic,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,462000,231,,Embraer EMB-110 Bandeirante,78,Private Canadian,30,Greenland,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,458229,229,,Douglas C-53 Skytrooper (DC-3),77,Panair do Brasil,29,Saudi Arabia,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,460460,230,,Douglas DC-4,77,United States Coast Guard - USCG,29,Finland,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,450675,225,,Douglas DC-8,76,LAN Chile - Linea A¨¦rea Nacional de Chile,28,Bangladesh,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,390780,195,,Rockwell Shrike Commander 500,76,SCADTA - Sociedad Colombo-Alemana de Transportes A¨¦reos,27,Bulgaria,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,423055,211,,De Havilland DH.80 Puss Moth,75,TAM Bolivia - Transporte A¨¦reo Militar Boliviano,27,Cameroon,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,425272,212,,De Havilland DHC-4 Caribou,75,Canadian Airways,26,Israel,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,391365,195,,Learjet 35,75,Japan Air Self-Defense Force - Koku Jieitai,26,Cambodia,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,425696,212,,Lockheed L-1049 Super Constellation,75,Mexicana de Aviaci¨®n,26,Georgia,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,365638,182,,Rockwell Grand Commander 690,74,National Air Transport - USA,26,Belarus,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,377880,188,,Beechcraft 100 King Air,73,TACA International Airlines - Transportes A¨¦reos Centro Americanos,26,Hungary,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,361980,180,,Ford 5,73,Israeli Air Force - Heyl Ha'avir,25,Malta,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,358136,178,,Piper PA-60 Aerostar (Ted Smith 600),72,Private Colombian,25,Somalia,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,348249,173,,Rockwell Aero Commander 560,72,Qantas Airways - Queensland and Northern Territory Aerial Services,25,Zimbabwe,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,336338,167,,Antonov AN-32,71,Argentinian Navy - Armada Argentina,24,Solomon Islands,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,352625,175,,Cessna 404 Titan,71,Canadian Pacific Airlines - CP Air,24,Paraguay,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,306432,152,,BAe 125,70,Indonesian Air Force - TNI-AU Tentara Nasional Indonesia - Angkatan Udara,24,Armenia,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,260193,129,,Partenavia P.68,70,Private French,24,Haiti,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,264358,131,,Breguet 14,69,TAROM - Transporturile Aeriene Romane,24,US Virgin Islands,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,292755,145,,Cessna 208A Caravan,68,Turkish Airlines - THY T¨¹rk Hava Yollari,24,Azerbaijan,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,228260,113,,Douglas DC-2,68,Angola Air Force - For?a A¨¦rea Nacional Angolana,23,Zambia,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,228373,113,,Grumman G-21A Goose,68,Iran Air,23,Uruguay,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,78858,39,,Vickers Valetta,68,Pakistan Air Force - Pakistan Fiza'ya,23,Guyana,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Convair CV-240,67,Saudi Arabian Airlines - SAUDIA,23,,,,,,,Kyrgyzstan,26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beechcraft AT-11 Kansan,66,Wideroe - Wideroe's Flyveselskap,23,,,,,,,Senegal,26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grumman S-2 Tracker,65,Czech Air Force - Cesk¨¦ Vojensk¨¦ Letectvo,22,,,,,,,Sri Lanka,26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Learjet 25,65,Philippine Air Force - Hukbong Himpapawid NG Pilipinas,22,,,,,,,Tunisia,26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boeing KC-135 Stratotanker,64,Private Brazilian,22,,,,,,,United Arab Emirates,26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bristol 170 Freighter,64,Regia Aeronautica,22,,,,,,,Croatia,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tupolev TU-154,64,Australian National Airways - ANA,21,,,,,,,Guam Island,25
